"X"	"target_id"	"ens_gene"	"ext_gene"	"pval"	"qval"	"b"	"se_b"	"mean_obs"	"var_obs"	"tech_var"	"sigma_sq"	"smooth_sigma_sq"	"final_sigma_sq"
"15"	15	"ENST00000494426"	"ENSG00000169583"	"CLIC3"	3.95419390541778e-180	1.35317787701937e-176	2.48552566892021	0.0868502906124787	6.21776080891263	1.86197367396015	0.00597281250202837	0.00480508587519643	0.00534164696717963	0.00534164696717963
"16"	16	"ENST00000428304"	"ENSG00000100439"	"ABHD4"	2.52573558077149e-177	8.10319117701014e-174	1.67986623299737	0.059166515146184	7.1394664278154	0.848784786300491	0.00154677397174477	0.00120274861707628	0.00370424080007066	0.00370424080007066
"19"	19	"ENST00000259939"	"ENSG00000137393"	"RNF144B"	3.91259602021514e-165	1.05705988899834e-161	2.74091156683377	0.100080583715473	6.01913720778281	2.26579821304514	0.00783985560044412	0.00718432925480052	0.00607078415011657	0.00718432925480052
"22"	22	"ENST00000279873"	"ENSG00000150347"	"ARID5B"	7.23162384501338e-158	1.68733506914648e-154	2.70242967377448	0.100950062986084	5.84967815079228	2.19737925101196	0.0083509776162683	-0.000299216987628515	0.00693539520907323	0.00693539520907323
"28"	28	"ENST00000623664"	"ENSG00000278996"	"FP671120.4"	1.15528395233468e-148	2.11796556575871e-145	1.5933643559969	0.0613600711601976	6.90173850688706	0.765486125833798	0.00173558123768041	0.00306833694403914	0.00391200626149636	0.00391200626149636
"30"	30	"ENST00000616892"	"ENSG00000275430"	"MUC20"	2.52372554815045e-146	4.31826266125529e-143	2.10305897598702	0.0816421132844393	7.7650227340226	1.33485563853773	0.00188402006603624	0.00811413192628759	0.00377391767034063	0.00811413192628759
"32"	32	"ENST00000256015"	"ENSG00000133639"	"BTG1"	2.21471317151249e-145	3.55267676625248e-142	1.93343145926581	0.0753035833688152	7.39046983884808	1.12825191790544	0.00121676035470944	0.00728918414756672	0.00362629366199782	0.00728918414756672
"35"	35	"ENST00000244745"	"ENSG00000124766"	"SOX4"	8.9549017080862e-143	1.31335146994137e-139	1.58307381433749	0.0622261109622618	6.89382165470757	0.753469135022517	0.0018868289782558	0.000153576684490596	0.00392130434997577	0.00392130434997577
"42"	42	"ENST00000394957"	"ENSG00000107738"	"VSIR"	1.00758196954653e-136	1.23145708716101e-133	1.58098290049503	0.0635243165417566	6.87275070004393	0.751520269386345	0.00210617524991322	-2.09378886106208e-05	0.00394683293823271	0.00394683293823271
"44"	44	"ENST00000455557"	"ENSG00000244675"	"AC108676.1"	8.90076183956225e-128	1.03839524261002e-124	1.66581169302208	0.0692721887130999	6.59874997480836	0.832845532521246	0.00280871572536325	-0.00235002380220934	0.00438923846829174	0.00438923846829174
"54"	54	"ENST00000261353"	"ENSG00000119801"	"YPEL5"	3.17228753534012e-122	3.01555303266813e-119	1.91529440699193	0.0814648893966462	6.72281470509622	1.10462679344194	0.00579227301868399	-0.000641030761715042	0.00416251928792771	0.00416251928792771
"56"	56	"ENST00000485563"	"ENSG00000163283"	"ALPP"	4.50506767280924e-120	4.12953810322578e-117	3.4143208358031	0.14654170481666	6.68611175929285	3.50577208513203	0.0279868722076789	-0.0173668044673373	0.00422483466818089	0.00422483466818089
"57"	57	"ENST00000380079"	"ENSG00000127954"	"STEAP4"	1.58413717006584e-119	1.4266127932249e-116	1.79601437356947	0.0772632829257078	7.18437098757788	0.97486382688659	0.00182940445232001	0.00712501788036695	0.00367990010704078	0.00712501788036695
"58"	58	"ENST00000582401"	"ENSG00000265972"	"TXNIP"	9.69093305656884e-119	8.57680992516882e-116	1.2441977262756	0.0537044937051716	7.70552684393834	0.466436077469	0.000597681665307356	0.00193692189492682	0.00372857730088587	0.00372857730088587
"59"	59	"ENST00000454652"	"ENSG00000114796"	"KLHL24"	3.57931558386959e-118	3.1141258906982e-115	3.00550318252082	0.13004576884251	5.79368617410634	2.73020909643545	0.0120447679354454	0.013323085055314	0.00728956583109466	0.013323085055314
"63"	63	"ENST00000525807"	"ENSG00000103811"	"CTSH"	2.42194820972615e-115	1.97338802383591e-112	1.28573936575686	0.056323099641794	7.88434501602248	0.499527340065402	0.000866826648685063	0.00362020468675219	0.00389161068120412	0.00389161068120412
"67"	67	"ENST00000272203"	"ENSG00000143850"	"PLEKHA6"	1.18351649228483e-113	9.06750277342756e-111	1.51926616052936	0.0670543149195137	7.24667015313582	0.694571813892646	0.00309073075862951	-0.0004395883414257	0.00365369096535848	0.00365369096535848
"68"	68	"ENST00000556539"	"ENSG00000170581"	"STAT2"	8.07059129412725e-113	6.09234694573735e-110	1.57278787796236	0.0696770952864773	6.66537637350091	0.743221030981337	0.00302056958246699	-0.00161742175530583	0.00426177682887427	0.00426177682887427
"70"	70	"ENST00000296370"	"ENSG00000163993"	"S100P"	1.34059239672684e-110	9.83075555839742e-108	1.41943074936529	0.063522483707574	7.02629182245962	0.609277222796766	0.00189835891076622	0.0041542999938023	0.00378626047825773	0.0041542999938023
"75"	75	"ENST00000433473"	"ENSG00000131238"	"PPT1"	3.03784028058853e-107	2.07917889710894e-104	1.37475034837114	0.0624955376113657	8.41294903152495	0.569403205914892	0.00093386258235778	0.00209319968129774	0.00492467574964266	0.00492467574964266
"76"	76	"ENST00000383694"	"ENSG00000168386"	"FILIP1L"	1.79186615806985e-106	1.21026412665844e-103	1.2161521539102	0.0554891965186497	7.8888448379339	0.44517931483505	0.000721803173078799	0.00111756732308008	0.00389677322234919	0.00389677322234919
