"X"	"target_id"	"ens_gene"	"ext_gene"	"pval"	"qval"	"b"	"se_b"	"mean_obs"	"var_obs"	"tech_var"	"sigma_sq"	"smooth_sigma_sq"	"final_sigma_sq"
"43"	43	"ENST00000257527"	"ENSG00000135074"	"ADAM19"	7.15213941047376e-130	8.53799116787068e-127	-1.48455497199439	0.0612269216561343	6.626762025746	0.662240338127735	0.00128910774376279	4.75155884378559e-05	0.00433399615946682	0.00433399615946682
"45"	45	"ENST00000368653"	"ENSG00000148773"	"MKI67"	2.55038167547913e-127	2.90924871479322e-124	-1.46389418365907	0.0609864499921085	8.4822106766338	0.646951172237136	0.000442584373204942	0.00462656306664595	0.00513643625075498	0.00513643625075498
"46"	46	"ENST00000227507"	"ENSG00000110092"	"CCND1"	7.832995763304e-127	8.74094214178088e-124	-1.6235405943936	0.0677692682126857	8.86436238914273	0.791172567111512	0.000137240143890353	0.000371945629029846	0.00675177042723405	0.00675177042723405
"47"	47	"ENST00000227520"	"ENSG00000110104"	"CCDC86"	2.49807423366914e-126	2.72832226729159e-123	-1.74058845276036	0.0728020452230548	6.45942521166984	0.911691329591923	0.00325409636965664	0.000242004914241377	0.00469611031333294	0.00469611031333294
"48"	48	"ENST00000249075"	"ENSG00000128342"	"LIF"	4.54634765305062e-126	4.86193995263321e-123	-1.77063704045564	0.0741364285574445	6.10553649935142	0.944741486485269	0.00252075002129112	0.0027227846977247	0.00572356503758848	0.00572356503758848
"49"	49	"ENST00000301364"	"ENSG00000167721"	"TSR1"	1.41155617211189e-125	1.47873472299689e-122	-1.32329817210107	0.055516568595176	7.09619547247053	0.527746138551429	0.000891062843676312	0.00212234073834862	0.00373207123919802	0.00373207123919802
"50"	50	"ENST00000321765"	"ENSG00000076382"	"SPAG5"	7.2944294734204e-125	7.48875307459232e-122	-1.35851887887851	0.0571593724531543	7.06454785102363	0.555706439486611	0.0011456116099704	0.00139735864729634	0.00375517917888723	0.00375517917888723
"51"	51	"ENST00000217026"	"ENSG00000101057"	"MYBL2"	1.08612312086966e-124	1.0931935694212e-121	-1.65728882096673	0.069779155887175	7.81621981059093	0.829824827545978	0.000893793623614428	0.00640990227087557	0.00381994985373973	0.00640990227087557
"52"	52	"ENST00000330263"	"ENSG00000053372"	"MRTO4"	1.78480595276675e-124	1.76187806091198e-121	-1.46674979972893	0.0618109785614411	6.68253753060505	0.648000221076011	0.0014997834439351	0.00174237727426297	0.00423111216214929	0.00423111216214929
"53"	53	"ENST00000310775"	"ENSG00000140525"	"FANCI"	1.48619548721384e-122	1.43942239150303e-119	-1.62219440751445	0.0689039270519895	6.73719750719838	0.793940934739967	0.00298247409503416	0.00262568341573933	0.00413915264974466	0.00413915264974466
"55"	55	"ENST00000505490"	"ENSG00000183684"	"ALYREF"	3.69038256737454e-122	3.44426759906309e-119	-1.28041505926141	0.0544758959097801	7.31518488921996	0.494723475247292	0.000816532364743534	0.00278929020059951	0.00363490248801627	0.00363490248801627
"60"	60	"ENST00000229854"	"ENSG00000112118"	"MCM3"	5.2993406597563e-118	4.53376257911017e-115	-1.48049964162128	0.0641070877681025	7.55352725752457	0.659866014557501	0.00251362185215212	0.000364200529451094	0.00365095620100869	0.00365095620100869
"61"	61	"ENST00000262460"	"ENSG00000101003"	"GINS1"	8.11108756200248e-118	6.82554666774936e-115	-1.58101585275275	0.0685141380201224	6.38104761845481	0.755516362527021	0.00193426164527516	0.00510701901768542	0.0048861001984193	0.00510701901768542
"62"	62	"ENST00000301280"	"ENSG00000167670"	"CHAF1A"	1.67177885865439e-116	1.38412503826528e-113	-1.37543042037383	0.0599459541575678	6.85401099359309	0.569313080712312	0.00141977571968918	0.000793259687054767	0.00397050041010266	0.00397050041010266
"64"	64	"ENST00000322623"	"ENSG00000175792"	"RUVBL1"	7.54834091466486e-115	6.05424118486838e-112	-1.25964584777141	0.0553005800627442	7.10192500960146	0.478707132898726	0.000859093755992027	0.00250944918950616	0.00372813747692195	0.00372813747692195
"65"	65	"ENST00000330459"	"ENSG00000182481"	"KPNA2"	1.37712153012849e-114	1.08754465207008e-111	-1.39855904017914	0.0614702418422948	8.5740348520939	0.587021313290822	0.000216518994731617	7.23517937481872e-05	0.0054513669534937	0.0054513669534937
"66"	66	"ENST00000320270"	"ENSG00000179041"	"RRS1"	5.1071913935103e-114	3.97215679714652e-111	-2.22183203942581	0.0979029149197325	5.99554575073885	1.49246326032545	0.00322114979588485	0.0111563213287857	0.00617528357841065	0.0111563213287857
"69"	69	"ENST00000325327"	"ENSG00000176619"	"LMNB2"	4.03222094976693e-112	2.99973863468748e-109	-1.31671305361714	0.0585172415715005	8.40481965880128	0.522455081729567	0.000235212745252817	0.00268366482954693	0.00490118859645321	0.00490118859645321
"71"	71	"ENST00000372224"	"ENSG00000142945"	"KIF2C"	2.1841917787381e-110	1.57913989276316e-107	-1.18430850902115	0.0530520596942511	7.33393675807472	0.423088447794199	0.000590200149721152	0.00230036789056613	0.00363158140698242	0.00363158140698242
"72"	72	"ENST00000230990"	"ENSG00000113070"	"HBEGF"	5.32343867425253e-110	3.79531602814904e-107	-2.0375338850834	0.0914362604043553	5.73159246623041	1.25161406062856	0.00480893238954552	0.00287951857252083	0.00773195218555409	0.00773195218555409
"73"	73	"ENST00000374523"	"ENSG00000204197"	"KIFC1"	1.83112440668799e-109	1.28760654854942e-106	-1.18680918000291	0.0533919168667152	7.36630928144376	0.425514533984547	0.000648359760513101	0.00305129656798041	0.00362768541954023	0.00362768541954023
"74"	74	"ENST00000300093"	"ENSG00000166851"	"PLK1"	4.5642999973005e-109	3.16614388461391e-106	-1.41813221209594	0.0639166485487218	7.48076724829437	0.608232096849273	0.000645077337741584	0.00548292960480964	0.00363258812609394	0.00548292960480964
"77"	77	"ENST00000263382"	"ENSG00000105011"	"ASF1B"	2.0931768004082e-106	1.39541495478641e-103	-1.21651432271425	0.055523652415419	7.14296725977576	0.447457425720744	0.000922136268306208	0.00343448436928706	0.00370217769801619	0.00370217769801619
"78"	78	"ENST00000272462"	"ENSG00000144063"	"MALL"	2.4297618999922e-104	1.59903253654358e-101	-1.27857992248179	0.0589418667668692	8.43249450487664	0.49142382906107	0.000228914434139117	0.0010133900771223	0.00498230105280592	0.00498230105280592
"79"	79	"ENST00000372577"	"ENSG00000095319"	"NUP188"	3.1564333283217e-104	2.05096247606848e-101	-1.40684400776775	0.0648907902304305	6.52505153261056	0.596609039178688	0.00176986930796366	0.00178765634338377	0.00454635267713095	0.00454635267713095
"80"	80	"ENST00000225972"	"ENSG00000108829"	"LRRC59"	3.33921704033467e-104	2.14260861393074e-101	-1.27353514191835	0.0587489300051118	8.42507742946276	0.486904660951969	0.000216915112147892	0.000204501939947171	0.0049602400529704	0.0049602400529704
